danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.625,0.648,11,-5.887,1,0.117,0.105,0,0.712,0.342,129.065,audio_features,2QeQNF182V61Im0QpjdVta,spotify:track:2QeQNF182V61Im0QpjdVta,https://api.spotify.com/v1/tracks/2QeQNF182V61Im0QpjdVta,https://api.spotify.com/v1/audio-analysis/2QeQNF182V61Im0QpjdVta,231827,4
0.459,0.623,1,-4.45,1,0.0489,0.352,0,0.131,0.205,126.014,audio_features,2rMFawCg4BW65jzbwztXAV,spotify:track:2rMFawCg4BW65jzbwztXAV,https://api.spotify.com/v1/tracks/2rMFawCg4BW65jzbwztXAV,https://api.spotify.com/v1/audio-analysis/2rMFawCg4BW65jzbwztXAV,351253,4
0.781,0.595,8,-6.069,0,0.155,0.113,2.48e-06,0.13,0.338,123.973,audio_features,1SGt65i9AnXYdDQt1AtDRH,spotify:track:1SGt65i9AnXYdDQt1AtDRH,https://api.spotify.com/v1/tracks/1SGt65i9AnXYdDQt1AtDRH,https://api.spotify.com/v1/audio-analysis/1SGt65i9AnXYdDQt1AtDRH,461840,4
0.689,0.61,10,-9.004,0,0.217,0.0836,0,0.36,0.119,134.931,audio_features,3dtBVBClM5ms0qCBBrqpUb,spotify:track:3dtBVBClM5ms0qCBBrqpUb,https://api.spotify.com/v1/tracks/3dtBVBClM5ms0qCBBrqpUb,https://api.spotify.com/v1/audio-analysis/3dtBVBClM5ms0qCBBrqpUb,235680,4
0.402,0.527,9,-6.737,0,0.0917,0.113,8.48e-06,0.105,0.31,81.42,audio_features,51EC3I1nQXpec4gDk0mQyP,spotify:track:51EC3I1nQXpec4gDk0mQyP,https://api.spotify.com/v1/tracks/51EC3I1nQXpec4gDk0mQyP,https://api.spotify.com/v1/audio-analysis/51EC3I1nQXpec4gDk0mQyP,339067,4
0.629,0.578,1,-4.704,1,0.0428,0.2,0,0.151,0.211,79.94,audio_features,2dJ4rGtsOHOgvTQawsCRtg,spotify:track:2dJ4rGtsOHOgvTQawsCRtg,https://api.spotify.com/v1/tracks/2dJ4rGtsOHOgvTQawsCRtg,https://api.spotify.com/v1/audio-analysis/2dJ4rGtsOHOgvTQawsCRtg,307000,4
0.522,0.731,3,-3.803,0,0.0325,0.0013,0,0.132,0.179,124.055,audio_features,3xby7fOyqmeON8jsnom0AT,spotify:track:3xby7fOyqmeON8jsnom0AT,https://api.spotify.com/v1/tracks/3xby7fOyqmeON8jsnom0AT,https://api.spotify.com/v1/audio-analysis/3xby7fOyqmeON8jsnom0AT,321560,4
0.553,0.54,1,-5.687,1,0.0904,0.00789,1.04e-06,0.158,0.162,116.876,audio_features,5H25xsIuRWUI8GwcoAoeSG,spotify:track:5H25xsIuRWUI8GwcoAoeSG,https://api.spotify.com/v1/tracks/5H25xsIuRWUI8GwcoAoeSG,https://api.spotify.com/v1/audio-analysis/5H25xsIuRWUI8GwcoAoeSG,166320,4
0.714,0.527,1,-5.046,1,0.0322,0.00787,0.00015,0.124,0.123,131.046,audio_features,1wHZx0LgzFHyeIZkUydNXq,spotify:track:1wHZx0LgzFHyeIZkUydNXq,https://api.spotify.com/v1/tracks/1wHZx0LgzFHyeIZkUydNXq,https://api.spotify.com/v1/audio-analysis/1wHZx0LgzFHyeIZkUydNXq,262693,4
0.497,0.465,3,-8.529,0,0.158,0.392,2.52e-05,0.603,0.295,147.949,audio_features,0IabpxMpUV7waD7U4uDIMJ,spotify:track:0IabpxMpUV7waD7U4uDIMJ,https://api.spotify.com/v1/tracks/0IabpxMpUV7waD7U4uDIMJ,https://api.spotify.com/v1/audio-analysis/0IabpxMpUV7waD7U4uDIMJ,242507,4
0.648,0.631,4,-5.662,0,0.104,0.38,0,0.12,0.142,105.989,audio_features,6Yqmv7XJLCrQEauMbPGZSw,spotify:track:6Yqmv7XJLCrQEauMbPGZSw,https://api.spotify.com/v1/tracks/6Yqmv7XJLCrQEauMbPGZSw,https://api.spotify.com/v1/audio-analysis/6Yqmv7XJLCrQEauMbPGZSw,349933,4
0.627,0.826,1,-3.139,0,0.0402,0.0617,0,0.495,0.429,130.015,audio_features,6HszFW6X5wM8DKX1SO0LaK,spotify:track:6HszFW6X5wM8DKX1SO0LaK,https://api.spotify.com/v1/tracks/6HszFW6X5wM8DKX1SO0LaK,https://api.spotify.com/v1/audio-analysis/6HszFW6X5wM8DKX1SO0LaK,208627,4
0.695,0.8,2,-5.68,1,0.0325,0.000819,0,0.0954,0.0635,110.009,audio_features,2hiuiI3ac0I5kJWtkeGHEL,spotify:track:2hiuiI3ac0I5kJWtkeGHEL,https://api.spotify.com/v1/tracks/2hiuiI3ac0I5kJWtkeGHEL,https://api.spotify.com/v1/audio-analysis/2hiuiI3ac0I5kJWtkeGHEL,235533,4
0.656,0.496,3,-4.139,0,0.0364,0.0335,0,0.156,0.28,137.932,audio_features,6scpNkWEmUxmKY7nYjVLsX,spotify:track:6scpNkWEmUxmKY7nYjVLsX,https://api.spotify.com/v1/tracks/6scpNkWEmUxmKY7nYjVLsX,https://api.spotify.com/v1/audio-analysis/6scpNkWEmUxmKY7nYjVLsX,219360,4
0.53,0.661,8,-5.507,1,0.083,0.141,0.00018,0.123,0.149,122.482,audio_features,0MRZ9nMoLc7qQ8Nhovv8C8,spotify:track:0MRZ9nMoLc7qQ8Nhovv8C8,https://api.spotify.com/v1/tracks/0MRZ9nMoLc7qQ8Nhovv8C8,https://api.spotify.com/v1/audio-analysis/0MRZ9nMoLc7qQ8Nhovv8C8,417693,4
0.511,0.521,6,-8.341,1,0.0332,0.0114,0.0233,0.167,0.126,99.058,audio_features,3jg8bevUzKYONDLBBQquif,spotify:track:3jg8bevUzKYONDLBBQquif,https://api.spotify.com/v1/tracks/3jg8bevUzKYONDLBBQquif,https://api.spotify.com/v1/audio-analysis/3jg8bevUzKYONDLBBQquif,176160,4
